Number of Dyck words is 16796
Processing Dyck words, elapsed time = 40ms 
Dyck words use ~ 697.099609 KB
Using 190 / 192 threads
Number of palindromic Dyck words is 252
Number of non-palindromic Dyck words is 8272
Thread 114 is finished, elapsed time = 6992ns 
Thread 115 is finished, elapsed time = 5908ns 
Thread 116 is finished, elapsed time = 9470ns 
Thread 117 is finished, elapsed time = 4946ns 
Thread 118 is finished, elapsed time = 3994ns 
Thread 119 is finished, elapsed time = 5199ns 
Thread 120 is finished, elapsed time = 6470ns 
Thread 121 is finished, elapsed time = 3907ns 
Thread 122 is finished, elapsed time = 3600ns 
Thread 123 is finished, elapsed time = 5344ns 
Thread 124 is finished, elapsed time = 7070ns 
Thread 125 is finished, elapsed time = 3381ns 
Thread 126 is finished, elapsed time = 4729ns 
Thread 127 is finished, elapsed time = 4449ns 
Thread 128 is finished, elapsed time = 7336ns 
Thread 129 is finished, elapsed time = 5139ns 
Thread 130 is finished, elapsed time = 3483ns 
Thread 131 is finished, elapsed time = 6150ns 
Thread 132 is finished, elapsed time = 6276ns 
Thread 133 is finished, elapsed time = 5139ns 
Thread 134 is finished, elapsed time = 4531ns 
Thread 135 is finished, elapsed time = 3601ns 
Thread 136 is finished, elapsed time = 7883ns 
Thread 137 is finished, elapsed time = 3269ns 
Thread 138 is finished, elapsed time = 3151ns 
Thread 139 is finished, elapsed time = 2670ns 
Thread 140 is finished, elapsed time = 4528ns 
Thread 141 is finished, elapsed time = 4687ns 
Thread 142 is finished, elapsed time = 2742ns 
Thread 143 is finished, elapsed time = 3911ns 
Thread 144 is finished, elapsed time = 4621ns 
Thread 145 is finished, elapsed time = 3254ns 
Thread 146 is finished, elapsed time = 1328ns 
Thread 147 is finished, elapsed time = 1299ns 
Thread 148 is finished, elapsed time = 4248ns 
Thread 149 is finished, elapsed time = 1312ns 
Thread 150 is finished, elapsed time = 1223ns 
Thread 151 is finished, elapsed time = 1260ns 
Thread 152 is finished, elapsed time = 3187ns 
Thread 153 is finished, elapsed time = 1385ns 
Thread 154 is finished, elapsed time = 1668ns 
Thread 155 is finished, elapsed time = 1238ns 
Thread 156 is finished, elapsed time = 4174ns 
Thread 157 is finished, elapsed time = 1721ns 
Thread 158 is finished, elapsed time = 1215ns 
Thread 159 is finished, elapsed time = 1695ns 
Thread 160 is finished, elapsed time = 3398ns 
Thread 161 is finished, elapsed time = 1281ns 
Thread 162 is finished, elapsed time = 1324ns 
Thread 163 is finished, elapsed time = 1694ns 
Thread 164 is finished, elapsed time = 3510ns 
Thread 165 is finished, elapsed time = 1301ns 
Thread 166 is finished, elapsed time = 1667ns 
Thread 167 is finished, elapsed time = 1289ns 
Thread 168 is finished, elapsed time = 2600ns 
Thread 169 is finished, elapsed time = 1703ns 
Thread 170 is finished, elapsed time = 1156ns 
Thread 171 is finished, elapsed time = 1715ns 
Thread 172 is finished, elapsed time = 4092ns 
Thread 173 is finished, elapsed time = 1199ns 
Thread 174 is finished, elapsed time = 1647ns 
Thread 175 is finished, elapsed time = 1246ns 
Thread 176 is finished, elapsed time = 4070ns 
Thread 177 is finished, elapsed time = 1687ns 
Thread 178 is finished, elapsed time = 1234ns 
Thread 179 is finished, elapsed time = 1271ns 
Thread 180 is finished, elapsed time = 7596ns 
Thread 181 is finished, elapsed time = 1275ns 
Thread 182 is finished, elapsed time = 1186ns 
Thread 183 is finished, elapsed time = 1668ns 
Thread 184 is finished, elapsed time = 4008ns 
Thread 185 is finished, elapsed time = 1332ns 
Thread 186 is finished, elapsed time = 1727ns 
Thread 187 is finished, elapsed time = 1265ns 
Thread 188 is finished, elapsed time = 2887ns 
Thread 189 is finished, elapsed time = 1348ns 
From comparison of palindromic and palindromic: 463348
Thread 0 has load 181731
Thread 1 has load 181247
Thread 2 has load 180763
Thread 3 has load 180279
Thread 4 has load 187956
Thread 5 has load 187427
Thread 6 has load 186898
Thread 7 has load 186369
Thread 8 has load 185840
Thread 9 has load 185311
Thread 10 has load 184782
Thread 11 has load 184253
